rank	run_id	checkpoint	checkpoint_exists	checkpoint_size_bytes	checkpoint_sha256	config_exists	config_sha256	metrics_exists	metrics_sha256	best_step	full_mse	pearson
56	rna_seq11_1bpB_upper_w2_gate_floor075_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w2_gate_floor075_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	a8c5079b4e503ced699fa134836685920451e7016656ef2636f2478318d62d8b	True	b64cf312837e3f34e165f30d518a43ccf8c97f4bfb9c410efeb6274d91df1d68	True	a7284180b4a29c12e86bbed3057356ab45ff4fffbf59450221888e8304e04684	250	0.84206118	0.6914665
57	rna_seq11_1bpB_upper_w3_resl2_5e-4_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w3_resl2_5e-4_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	c4afc3a7b75e6376fe6d8c8820d7db6adc156f478f741ed9ccc6c1b835dfe40a	True	1f8c9767e20f1ef6610b9268d3bc006d57149f038cc81d40d1a3ba5f36a0bd44	True	4ec06183b3f6406078648e3096322652eb5fe30e6c499a0dbdbb6fbb5888d695	250	0.84206423	0.69179672
58	rna_seq11_1bpB_upper_w2_gate_floor025_from_w1a05lr1e4_seedrand_2000steps	runs/rna_seq11_1bpB_upper_w2_gate_floor025_from_w1a05lr1e4_seedrand_2000steps/adapter_head_best.pt	True	5664200	4f2ce245b7629567725b5c4ddf73ba7210d41a428ef66d2f19a0fa7f5a3c5f4f	True	701d6aaff7b04f097a9923b26207d4c2dddfa4ce62b23ee28d56b2224c8f53d0	True	5c9a56a84e11fdde3efc19e176226925c15d13bc604ebbcdcaff0d2991198cbe	250	0.84222039	0.69161779
59	rna_seq11_1bpB_upper_w1_mse_lr1e-4_seedrand_4000steps	runs/rna_seq11_1bpB_upper_w1_mse_lr1e-4_seedrand_4000steps/adapter_head_best.pt	True	5664264	3ee19a57c4eab805a3e952b5f5389e865a8d6008c70cd88506b5d322e5699b2c	True	845763e8bd2cc2eafec1ec2482aaaf6897841d4719136b60794ae8f01ac53066	True	078d5a5c87b1e864aae5fedae6e4ff563f9996b23c76337f23f68079891f950b	500	0.84306722	0.69160917
60	rna_seq11_1bpB_residual_extend_20260526_conv5_bn128_h128_scale001_hybrid_lr3e-4_from1000_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_extend_20260526_conv5_bn128_h128_scale001_hybrid_lr3e-4_from1000_seed20260526_1000steps/adapter_head_best.pt	True	5664008	f480d1d2f36f6680bccbb3d0b3c25e557bdac90a44c6e2183152a9f533b1b03d	True	a27323ee3336bbd4ef86cb9118364d15abff46f9254f46fe236291cef3224342	True	8bb902da6dc1dbe1c607b6578e00c54689793439e5aa240df921ecf46ff48f9f	1000	0.84327834	0.69191858
61	rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_hybrid_lr3e-4_from1000_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_hybrid_lr3e-4_from1000_seed20260526_1000steps/adapter_head_best.pt	True	4972296	1d44ab73b9c0d626a5cca11a149bf33d2527f6c3caba027704ecf5b9877639d1	True	4244c61a0e37790d96e43b441e64f619a73ad96007a87643ad3f8d806175d095	True	9a2583f3b62ecbb6198281a3c3eb017a931f8741b1e72135ea5c3d951d0b53a1	750	0.84387702	0.69066585
62	rna_seq11_1bpB_fusion_20260528_basepred_conv5_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1000steps	runs/rna_seq11_1bpB_fusion_20260528_basepred_conv5_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1000steps/adapter_head_best.pt	True	5670216	28b596696b1c6959eebb62ce92330abe7c4062b31d761824dcf137e73796c438	True	20e3c4a9be0adb180f68d0d6943fcdc226308577d3bb832ccf174bc20d13814b	True	f12f05fc94a35984b167a42203a2b5d3fdb5fa5b9e18a7bba0d778a426ca3442	250	0.8449821	0.69025205
63	rna_seq11_1bpB_head_sweep_20260528_conv7_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps	runs/rna_seq11_1bpB_head_sweep_20260528_conv7_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps/adapter_head_best.pt	True	5795592	42c470323b3c1cc642a7abe2c339dc9407cec6128a4958018af0d1a140984f21	True	0ef6b3a43fc47e5822b3c9bbfe02dd333d2ab8bc5b5da5a5e8611584b65f4c7c	True	27bec1e24323a1d8099112a505785d7cf0903ff78900fad4c2eef813659ab57a	250	0.84499249	0.69008607
64	rna_seq11_1bpB_sigweight_w1_rank1_top1x5_a075_b05_lr3e-6_1500steps	runs/rna_seq11_1bpB_sigweight_w1_rank1_top1x5_a075_b05_lr3e-6_1500steps/adapter_head_best.pt	True	5664968	a1cc51073b57bda447efdcc211ab0440afa1558723bf81a8d2e12bde813d6b46	True	1bb9e9c5cae31bbadc33e78ce27a4d87f32fca86ee89ceb5b83f11f88e77072b	True	509dec624839ac7aa15148584bf53d65465907fd49d9119dfcbaec483c4c11a3	250	0.84503946	0.69598754
65	rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_hybrid_lr1e-4_from1000_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_hybrid_lr1e-4_from1000_seed20260526_1000steps/adapter_head_best.pt	True	4972296	00eb32408abbed9ba4caa659d6399db78828eae1a732b2530f5d182335d927a9	True	eef59018bf37edbad7c18929de1ab7797860b0295f374a4bd08de3066e9162a1	True	174ae8dd777c0647f9588d6f9555a0ddbce07aa83334105deb13cf918afbcf44	250	0.84530813	0.69008554
