sample_uid	batch	run_accession	experiment_accession	biosample_accession	sra_sample_accession	bioproject_accession	sra_study_accession	geo_accession	pubmed_id	local_path	local_size_bytes	sha256	sha256_matches_prior_inventory	wbcel235_exact	organism	strain	genotype	sex	tissue_or_cell_type	development_stage	condition	assay	library_source	library_selection	library_layout	mean_read_length_bp_derived	read_length_status	strandedness	biological_replicate	technical_replicate	study_title	provided_data_source	sharepoint_paper_lab	provided_stage	sharepoint_stage	ena_sample_stage	provided_tissue	ena_sample_tissue	bigwig_generator	bigwig_reference_genome	bigwig_aligner	bigwig_generation_command	signal_unit	normalization_class	mathematically_convertible_without_source_reads	read_count	base_count	fastq_available	fastq_md5	fastq_file_bytes	fastq_bytes	fastq_ftp	bam_available	bam_bytes	bam_ftp	ena_query_status	metadata_conflict_flags	metadata_evidence_status	include_formal_v2	exclusion_reason
rna_seq:SRR28628829	sharepoint_2026-07-13_new439	SRR28628829	SRX24226679	SAMN40933366	SRS20996279	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628829.bw	35439596	199c6d451ff2f4b5e49cb6daeaf67c9b9c3c3a8b9b9e47a4a94b0cf2bb9f0695	True	True	Caenorhabditis elegans	cdk-12as	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	27182376	5490839952	True	e690872f0305ab0f1cff302b9d8d23c7;0ed4f94e23b076c7b44802e3433efdcd	845097571;911060531	1756158102	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/029/SRR28628829/SRR28628829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/029/SRR28628829/SRR28628829_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628830	sharepoint_2026-07-13_new439	SRR28628830	SRX24226678	SAMN40933367	SRS20996278	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628830.bw	43712262	a9b810f5f6ef64a417af703fba7993b3761e94c0b0389a1c007be160909e30c3	True	True	Caenorhabditis elegans	cdk-12as	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	34278872	6924332144	True	8e1ebb8ceac591a6fc9e2a55b2ef6374;29171544ed7a90940baccd57a740493c	1114429404;1168347901	2282777305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/030/SRR28628830/SRR28628830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/030/SRR28628830/SRR28628830_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628831	sharepoint_2026-07-13_new439	SRR28628831	SRX24226677	SAMN40933368	SRS20996277	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628831.bw	50388132	6db766980757bdfe3fc4ea347f132e0931e43f71096e59bc23f26d28fbfee05f	True	True	Caenorhabditis elegans	cdk-12as	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	42722364	8629917528	True	e6351fc67a122c93f67d02572e250c32;966cd5e2e21e6508b6a0ef4444fc2a14	1357733064;1448055995	2805789059	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/031/SRR28628831/SRR28628831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/031/SRR28628831/SRR28628831_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628832	sharepoint_2026-07-13_new439	SRR28628832	SRX24226676	SAMN40933369	SRS20996276	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628832.bw	55725916	039631ea76c0fccdbfecad4d972431468de7dd4b9f172d5591d44d9bce860d0e	True	True	Caenorhabditis elegans	ssup-72[E22K]	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	43189605	8724300210	True	e9e4fce06abb6ade7558fb3a5366637d;388f8c5c2b6568bd24250df5b75c114c	1441402499;1512713273	2954115772	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/032/SRR28628832/SRR28628832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/032/SRR28628832/SRR28628832_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628833	sharepoint_2026-07-13_new439	SRR28628833	SRX24226675	SAMN40933370	SRS20996275	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628833.bw	53671781	04fe1f2d8afe36eac603f211537e1e2428fd0d97e2598228a9b277ca63f61ac3	True	True	Caenorhabditis elegans	ssup-72[E22K]	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	46201503	9332703606	True	fa96116e5d4fa620578a4cc2a0ef803c;44ef546ae645331f6540951355ab1025	1490026490;1588215572	3078242062	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/033/SRR28628833/SRR28628833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/033/SRR28628833/SRR28628833_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628834	sharepoint_2026-07-13_new439	SRR28628834	SRX24226674	SAMN40933371	SRS20996274	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628834.bw	50639836	d5bccf1041606a8ab335927b32528736d7f41be82bc2d77de45da0e1d96fe65a	True	True	Caenorhabditis elegans	ssup-72[E22K]	mutated		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	42861094	8657940988	True	e18f027b407d6766944e3097baafc125;0efb9dd862d931321dd5690d18a4f34f	1371083900;1451656853	2822740753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/034/SRR28628834/SRR28628834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/034/SRR28628834/SRR28628834_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628835	sharepoint_2026-07-13_new439	SRR28628835	SRX24226673	SAMN40933372	SRS20996273	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628835.bw	39521663	c8c910fcf0822ef578e1af3f639f53e4a200155bb3f705ce0a0a017bd74801b9	True	True	Caenorhabditis elegans	N2	WT		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	36196172	7311626744	True	3ec37034d4432b13fb07cdbacdb19deb;d4e69b02a899d23f54221ec778745d19	1114531141;1209914535	2324445676	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/035/SRR28628835/SRR28628835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/035/SRR28628835/SRR28628835_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628836	sharepoint_2026-07-13_new439	SRR28628836	SRX24226672	SAMN40933373	SRS20996272	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628836.bw	36609616	d5e106212c0356cc9cf1f72ceb1dd072f4516bf6ccc7bb8d8cf7b7451e5baf71	True	True	Caenorhabditis elegans	N2	WT		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	37156196	7505551592	True	ad8aaac8510f7be05a0a76147228ec45;acda6da920ce5521ac8a28650d586a83	1111094597;1205971458	2317066055	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/036/SRR28628836/SRR28628836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/036/SRR28628836/SRR28628836_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28628837	sharepoint_2026-07-13_new439	SRR28628837	SRX24226671	SAMN40933374	SRS20996271	PRJNA1099214	SRP501217	GSE263774	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28628837.bw	32145283	d86816f9f0f646072d9d0a47aefc5623bfc78c9e779f987b0150909e17dbdd6d	True	True	Caenorhabditis elegans	N2	WT		whole worm	L1	DMSO	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	101	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-suppression]	PRJNA1099214		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	34693255	7008037510	True	5b19c2ea398dbb0e61bbf6f531b2fe0f;b44f1c8efd2a8f808bcffe9508bcdf92	1017231872;1105809126	2123040998	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/037/SRR28628837/SRR28628837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/037/SRR28628837/SRR28628837_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28645089	sharepoint_2026-07-13_new439	SRR28645089	SRX24238209	SAMN40932161	SRS21006596	PRJNA1099212	SRP501530	GSE263771	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28645089.bw	98734601	eba730e274ce7579bebe48d7b8f426d8aec589671aa7903f8afd7ee50ee7f1b8	True	True	Caenorhabditis elegans	ssup-72(0)	mutated		whole worm	L1		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	97.4424	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-SSUP72]	PRJNA1099212		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	36879299	7187212681	True	91e6dec09561a8259b61fc5bc05799de;a816af96a463359ce4921b0e4d4c237c	1901643796;1911670206	3813314002	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/089/SRR28645089/SRR28645089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/089/SRR28645089/SRR28645089_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
rna_seq:SRR28645090	sharepoint_2026-07-13_new439	SRR28645090	SRX24238208	SAMN40932162	SRS21006595	PRJNA1099212	SRP501530	GSE263771	40097442	shared/sharepoint_2026-07-13/training_input_bigwig/SRR28645090.bw	95472586	5b07c168d30503d4421fab224d9521a3f0fc7ed55cb3ff7219e18ecc1b5f2534	True	True	Caenorhabditis elegans	ssup-72(0)	mutated		whole worm	L1		RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	97.5424	derived_from_ENA_base_count_read_count_layout	unknown		unknown	The SSUP-72/PINN-1 module is required for efficient 3'end processing and coordinates developmental gene expression during exit from diapause in C. elegans [RNAseq-SSUP72]	PRJNA1099212		L1		L1		whole worm	unknown_from_provided_metadata	WBcel235_by_chromosome_header_validation	unknown_from_provided_metadata	unknown_from_provided_metadata	unknown	C	False	34817109	6792289811	True	c24b825227cdd869c183193d7245b935;6b1ba4ac0ab3f8138f87d0359a93d4f6	1794868933;1805446333	3600315266	ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/090/SRR28645090/SRR28645090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR286/090/SRR28645090/SRR28645090_2.fastq.gz	False	0		success		source_reported_pending_harmonization	False	awaiting_uniform_reprocessing_signal_unit_unknown
